date,ticker,direction,shares,entry_price,exit_price,pnl,fees,hold_time_hours,strategy_tag,rationale
2026-01-02,AAPL,long,25,185.20,189.50,102.50,5.00,6.5,momentum,Strong momentum after holiday gap up
2026-01-02,NVDA,long,10,490.00,502.00,115.00,5.00,4.0,momentum,AI sector rotation play
2026-01-03,MSFT,long,15,375.00,379.50,62.50,5.00,8.0,breakout,Cloud earnings beat expectation
2026-01-05,AMD,long,20,142.00,146.80,91.00,5.00,24.0,breakout,Breakout above resistance level
2026-01-06,AAPL,long,30,190.00,186.50,-108.00,3.00,3.0,momentum,Tuesday reversal caught wrong side
2026-01-06,NVDA,short,10,505.00,510.00,-53.00,3.00,2.5,scalp,Failed breakdown attempt on Tuesday
2026-01-07,META,long,15,520.00,532.00,175.00,5.00,48.0,swing,Ad revenue catalyst from earnings preview
2026-01-08,TSLA,long,20,255.00,262.00,135.00,5.00,12.0,momentum,Delivery numbers beat
2026-01-09,AAPL,long,25,187.50,191.00,82.50,5.00,5.5,momentum,Bounce off support level
2026-01-12,AMD,long,10,148.00,153.00,47.00,3.00,72.0,swing,Data center demand thesis
2026-01-13,MSFT,short,15,380.00,384.00,-63.00,3.00,4.0,scalp,Tuesday fade setup failed
2026-01-13,TSLA,long,20,260.00,255.50,-93.00,3.00,6.0,momentum,Tuesday chop lost discipline
2026-01-14,TSLA,short,25,256.00,260.50,-115.50,3.00,4.5,scalp,Afternoon revenge trade after morning loss
2026-01-15,TSLA,long,20,259.00,254.00,-103.00,3.00,3.0,momentum,Morning revenge trade doubling down
2026-01-15,TSLA,short,30,255.00,259.50,-138.00,3.00,2.0,scalp,Afternoon revenge trade panic flip
2026-01-16,NVDA,long,15,510.00,518.00,115.00,5.00,28.0,,
2026-01-19,META,long,10,535.00,542.00,65.00,5.00,8.0,momentum,Instagram Reels monetization news
2026-01-20,AAPL,short,20,192.00,195.00,-63.00,3.00,5.0,scalp,Tuesday reversal pattern
2026-01-20,AMD,long,15,155.00,151.00,-63.00,3.00,3.5,breakout,Tuesday breakout fakeout
2026-01-21,NVDA,long,10,515.00,523.00,75.00,5.00,36.0,swing,Chip sector momentum continuation
2026-01-22,MSFT,long,20,382.00,388.00,115.00,5.00,,momentum,Azure growth catalyst
2026-01-23,META,long,10,540.00,548.00,75.00,5.00,120.0,swing,Swing trade on ad spend recovery
2026-01-26,AAPL,long,15,193.00,198.00,70.00,5.00,48.0,swing,Services revenue growth thesis
2026-01-27,NVDA,short,10,525.00,530.00,-53.00,3.00,1.5,scalp,Tuesday end-of-month selling expected
2026-01-27,AMD,short,20,153.00,157.00,-83.00,3.00,2.0,scalp,Tuesday sympathy fade failed
2026-01-28,TSLA,long,15,258.00,265.00,100.00,5.00,24.0,swing,FSD update announcement
2026-01-29,META,long,10,550.00,556.00,55.00,5.00,6.0,momentum,
2026-01-29,MSFT,long,15,390.00,395.50,77.50,5.00,10.5,momentum,Copilot enterprise adoption ramp
2026-01-30,NVDA,long,10,528.00,540.00,115.00,5.00,48.0,swing,Data center GPU supply improving
2026-01-31,AMD,long,50,158.00,162.50,220.00,5.00,0.5,scalp,Scalp on EPYC server announcement
